"ID";"post_title";"meta_value"
"459";"Canasto SPA Grande";"RTM0096"
"462";"Canasto SPA Redondo";"RTM0100"
"465";"Pendrive Cartón 4GB";"RTM0114"
"470";"Set 15 Bolsitas de Basura";"RTM0197"
"478";"Llavero Cuadrado Linterna LED Dínamo";"RTM0364"
"484";"Linterna Dinamo Con LED";"RTM0399"
"490";"Botella Flexible 480cc Eco";"RTM0548"
"500";"Set Ecológico de Oficina";"RTM0549"
"505";"Libreta Ecológica Lápiz 50 hojas";"RTM0671"
"511";"Portalápices Ecológico Plegable";"RTM0677"
"515";"Taco Ecológico 180 hojas";"RTM0682"
"517";"Memo Set Ecológico con Bolígrafo";"RTM0560"
"521";"Cuaderno Ecológico Lápiz Troquelado";"RTM0575"
"533";"Set de Banderitas Adhesivas";"RTM0582"
"539";"Porta Post it Ecológico";"RTM0584"
"543";"Cuaderno Ecológico 1/2 Oficio";"RTM0587"
"549";"Cuaderno Ecológico Tapa Dura 70 hojas";"RTM0604"
"560";"Carpeta Ecológica Maletín";"RTM0612"
"565";"Libreta Ecológica Tapa Dura 80 Hojas";"RTM0622"
"568";"Cuaderno Ecológico Tapa Dura";"RTM0627"
"571";"Libreta Memo Eco Cuero";"RTM0832"
"577";"Memo Set Ecológico con Regla";"RTM0833"
"580";"Memo Set Ecológico con Bolígrafo";"RTM0834"
"583";"Memo Set Ecológico con Tapa Dura";"RTM0835"
"586";"Memo Set Ecológico Grande";"RTM0836"
"589";"Memo Set Ecológico con Lápiz";"RTM0837"
"594";"Regla de Madera 30cm";"RTM0838"
"600";"Libreta Ecológica 70 hojas";"RTM0675"
"617";"Bolso Playa UV";"RTM0718"
"620";"Bolsa tirantes algodón";"RTM0721"
"622";"Bolso Marinero Algodón";"RTM0722"
"625";"Bolso Marinero Algodón Colores";"RTM0723"
"634";"Calculadora Solar Traslúcida";"RTM0806"
"639";"Linterna 3 LED con Dínamo";"RTM0734"
"642";"Linterna Dínamo LED USB";"RTM0735"
"648";"Set Tabla Para Quesos Imantada";"RTM0824"
"651";"Lápiz Roller Bambú";"RTM0076"
"655";"Bolígrafo Set Bambú con caja";"RTM0077"
"663";"Lápiz Bambú Clip Metálico";"RTM0079"
"666";"Lápiz Bambú Touch Screen";"RTM0080"
"669";"Lápiz Bambú Metal";"RTM0081"
"660";"Lápiz Ejecutivo Bambú";"RTM0078"
"674";"Lápiz Bambú Roller";"RTM0082"
"677";"Set Bolígrafo Bambú con caja";"RTM0083"
"681";"Lápiz Bambú Enviro";"RTM0084"
"684";"Estuche Porta Lápiz de Bambú";"RTM0085"
"687";"Parlante de Bambú USB";"RTM0087"
"692";"Teclado de Bambú";"RTM0088"
"696";"USB Mouse de Bamboo";"RTM0089"
"700";"HUB 4 Puertos USB de Bamboo";"RTM0090"
"704";"Calculadora Solar de Bambú";"RTM0091"
"708";"Calculadora de Bambú";"RTM0092"
"711";"Reloj de Pared de Bamboo";"RTM0093"
"715";"Set Bambú Pad Mouse";"RTM0094"
"719";"Pendrive 4GB de Bambú";"RTM0095"
"722";"Reloj Despertador Bambú";"RTM0850"
"726";"Tazón de Bambú 350cc";"RTM0097"
"729";"Mug de Bambú 420cc";"RTM0098"
"732";"Tazón Cervecero de Bambú";"RTM0099"
"736";"Termo Madera Bambú 500cc";"RTM0839"
"739";"Descorchador Vinos de Bambú";"RTM0101"
"744";"Set de Vino de Bambú";"RTM0102"
"753";"Tarjetero de Bambú";"RTM0105"
"757";"Memo Clip de Bambú";"RTM0106"
"759";"Tarjetero de Bambú";"RTM0107"
"764";"Llavero Bambú Redondo";"RTM0384"
"767";"Lápiz Bambú Con Estuche";"RTM0420"
"771";"Lápiz de Bambú Panda";"RTM0496"
"778";"Cuaderno Con Lápiz de Bambú";"RTM0637"
"781";"Libreta Con Lápiz Bambú";"RTM0646"
"785";"Memo Post It Bambú";"RTM0986"
"789";"Cuaderno de Bambú";"RTM0659"
"998";"Lanyard Tela Lisa";"RTM0026"
"1000";"Porta Credencial de Acrílico";"RTM0028"
"1001";"Porta Credencial Horizontal";"RTM0029"
"1002";"Porta Credencial Vertical PVC";"RTM0030"
"1003";"Porta Credencial con Colgador";"RTM0031"
"1004";"Lanyard Reflectante";"RTM0032"
"1005";"Llavero Lanyard Mosquetón";"RTM0033"
"1006";"Porta Credencial con Lanyard";"RTM0034"
"1007";"Llavero Lanyard con Mosquetón";"RTM0035"
"1008";"Llavero Mosquetón y Extensor";"RTM0036"
"1010";"Lanyard Porta-Botella Sublimacion";"RTM0038"
"1011";"Lanyard Porta Llavero";"RTM0039"
"1012";"Lanyard Porta Credencial ""Fair""";"RTM0040"
"1013";"Pulsera Promocional Poliéster";"RTM0041"
"1014";"Porta Credencial Acrílico";"RTM0042"
"1015";"Pulsera Promocional de PVC";"RTM0043"
"1016";"Lanyard Porta Credencial";"RTM0044"
"1018";"Lanyard Porta Credencial Clásico";"RTM0046"
"1019";"Lanyard Porta Credencial";"RTM0047"
"1020";"Lanyard Premium Texturado";"RTM0048"
"1021";"Porta Credencial PVC Grande";"RTM0049"
"1022";"Identificador de Aluminio";"RTM0050"
"1023";"Yo-yo Porta Credencial";"RTM0051"
"1024";"Porta Credencial de Plástico";"RTM0052"
"1025";"Set de Manicure tarjeta";"RTM0053"
"1026";"Cosmetiquero Grande PVC";"RTM0054"
"1027";"Espejo con Reloj Digital";"RTM0055"
"1028";"Espejo Frozen con Tapa";"RTM0056"
"1029";"Espejo de Aluminio Cuadrado";"RTM0057"
"1030";"Set de Manicure Metálico";"RTM0058"
"1031";"Colgador de Carteras";"RTM0059"
"1032";"Pastillero Trizone";"RTM0060"
"1033";"Masajeador estrella";"RTM0061"
"1034";"Pastillero Redondo 7 compartimientos";"RTM0062"
"1035";"Necessaire de microfibra con PVC";"RTM0063"
"1036";"Cosmetiquero de PVC";"RTM0064"
"1037";"Mini Set de Costura";"RTM0065"
"1038";"Bolsa de PVC";"RTM0066"
"1039";"Colgador de Carteras Metálico";"RTM0067"
"1040";"Neceser de Microfibra";"RTM0068"
"1042";"Colgador Carteras Spiral";"RTM0070"
"1043";"Peine con Espejo";"RTM0071"
"1044";"Pastillero ""Bizone""";"RTM0072"
"1045";"Set de Costura Redondo con Espejo";"RTM0073"
"1046";"Botiquín de Emergencia";"RTM0074"
"1047";"Espejo Plateado";"RTM0075"
"1058";"Joyero de PU Negro";"RTM0086"
"1076";"Llavero Set Manicure";"RTM0104"
"1080";"Cepillo Rectangular con Espejo";"RTM0108"
"1081";"Bolígrafo Láser con Pendrive 8GB";"RTM0109"
"1082";"Pendrive 8 GB";"RTM0110"
"1083";"USB Pendrive 4GB Translucid Twister";"RTM0111"
"1084";"Láser Datashow Pendrive 8GB";"RTM0112"
"1085";"USB Mouse Inalámbrico";"RTM0113"
"1087";"Funda para Notebook";"RTM0115"
"1088";"Presentador Datashow Láser USB";"RTM0116"
"1089";"Llavero Láser LED";"RTM0117"
"1091";"Audífonos Caja Triangular";"RTM0119"
"1093";"Hub 4 puertos USB";"RTM0121"
"1094";"Adaptador Universal Corriente";"RTM0122"
"1095";"Puntero Láser Fivel";"RTM0123"
"1096";"Audífonos en Caja";"RTM0124"
"1097";"Audífonos Hi-Fi";"RTM0125"
"1099";"Pendrive Camiseta Fútbol 4GB";"RTM0127"
"1101";"Bolígrafo Pendrive 4GB";"RTM0129"
"1102";"Pendrive 2 GB";"RTM0130"
"1103";"MP3 Player Credit Card 8GB";"RTM0131"
"1104";"USB Mini-Mouse";"RTM0132"
"1105";"USB Mouse Optico Keita";"RTM0133"
"1106";"USB Lámpara LED";"RTM0134"
"1107";"Bolígrafo con USB Pendrive 2GB";"RTM0135"
"1108";"PenDrive 4GB Puntero Touch";"RTM0136"
"1109";"Pendrive 8GB Puntero Touch";"RTM0137"
"1110";"Pendrive 4G de Metal y Cuero";"RTM0138"
"1111";"Audífonos Acolchados";"RTM0139"
"1112";"Pendrive 2 GB";"RTM0140"
"1113";"Mini Altavoz Portátil Onix";"RTM0141"
"1114";"Bluetooth Altavoz Portátil";"RTM0142"
"1115";"Bluetooth Altavoz portátil";"RTM0143"
"1117";"Soporte Para Celular Abatible";"RTM0145"
"1119";"Mochila Frontal ""Flip""";"RTM0147"
"1120";"Bolso Mediano Flip";"RTM0148"
"1121";"Pendrive 2GB";"RTM0149"
"1122";"MOCHILA EXACTA";"RTM0150"
"1123";"MOCHILA PORTA NOTEBOOK";"RTM0151"
"1125";"Bolso Maletín";"RTM0153"
"1127";"MOCHILA CITY";"RTM0155"
"1128";"MOCHILA PORTA NOTEBOOK RIPSTOP";"RTM0156"
"1129";"Pendrive 4GB";"RTM0157"
"1130";"Cargador Power Bank 2200mAh";"RTM0158"
"1132";"Cargador Llavero Power Bank 2000mAh";"RTM0160"
"1133";"Cargador Power Bank 8400mAh";"RTM0161"
"1134";"Pendrive 4GB";"RTM0162"
"1135";"Cargador Power Bank Basic 2200mAh";"RTM0163"
"1136";"Pendrive Llave de 4GB";"RTM0164"
"1137";"Pendrive 8GB Forma Llave";"RTM0165"
"1138";"Pendrive Credit Card 2GB";"RTM0166"
"1139";"Pendrive Credit Card 4GB";"RTM0167"
"1140";"Pendrive Credit Card 8GB";"RTM0168"
"1141";"Pendrive 16 GB";"RTM0169"
"1142";"Llavero Pendrive Simil Cuero De 4GB";"RTM0170"
"1143";"Hub USB Mutilector Tarjetas";"RTM0171"
"1144";"Bolígrafo Pendrive 8GB";"RTM0172"
"1145";"Pendrive Mosquetón 8GB";"RTM0173"
"1146";"Pendrive Mono Porfiado 8GB";"RTM0174"
"1147";"Pendrive Interruptor 4GB";"RTM0175"
"1148";"Cargador Power Bank 2200mAh";"RTM0176"
"1149";"Identificador Equipaje";"RTM0183"
"1150";"Maletín Porta Notebook Oferta";"RTM0184"
"1152";"Bolso Porta Zapatos";"RTM0186"
"1153";"Mochila Cruzada";"RTM0187"
"1154";"Maletín Portadocumentos";"RTM0188"
"1155";"Bolso Deportivo y Viajes";"RTM0189"
"1156";"Deluxe Bolso XD";"RTM0190"
"1157";"Mochila City";"RTM0191"
"1158";"Maletín de Congreso";"RTM0192"
"1159";"Mochila Urbe";"RTM0193"
"1160";"Antifaz de Descanso";"RTM0194"
"1161";"Maletín Portadocumentos";"RTM0195"
